id,firstname,lastname,email,phone,gender,nationality,maritalStatus,passportNumber,visaCategory,currentAddress,permanentAddress,highestQualification,fieldOfStudy,institutionName,graduationYear,grade,testType,testScore,countryOfInterest,courseOfInterest,desiredFieldOfStudy,preferredInstitutions,intakeSession,reasonForImmigration,financialSupport,sponsorDetails,scholarships,communicationMode,preferredContactTime,leadSource,referralContact,leadStatus,leadRating,created_at,updated_at,userID,district,state,city,country,pincode,dob,passportExpiry,followUpDates
674fd2dc-1979-464b-8ff6-6f9a2f080b1c,Rakesh Kumar ,Sharma,rakesh@gmail.com,+91 9898989899,male,indian,single,A2323232,work_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,inprogress,5,2024-09-06T09:37:34.860Z,2024-09-06T09:37:34.860Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-22T18:30:00.000Z,2024-06-28T18:30:00.000Z,2024-09-23T18:30:00.000Z
85589e4a-1e90-4cf4-bbb4-b818b8b77002,Rakesh Kumar ,Sharma,rakesh@gmail.com,+91 9898989899,male,indian,single,A2323232,work_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,inprogress,5,2024-09-06T09:37:34.860Z,2024-09-06T09:37:34.860Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-22T18:30:00.000Z,2024-06-28T18:30:00.000Z,2024-09-23T18:30:00.000Z
e8718a7a-4643-4526-a230-0e59587b6cfc,Rakesh,Kumar,rakesh@gmail.com,+1 9898989899,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-06T09:37:34.860Z,2024-09-06T09:37:34.860Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11T18:30:00.000Z,2024-05-09T18:30:00.000Z,2024-05-11T18:30:00.000Z
64d17915-e767-47e2-b770-03012d2c12e0,Rakesh,Kumar,rakesh@gmail.com,+91 9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-06T09:37:34.860Z,2024-09-06T09:37:34.860Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11T18:30:00.000Z,2024-05-09T18:30:00.000Z,2024-05-11T18:30:00.000Z
1ab299e7-708f-4349-993b-1d18e7fa8307,test,test,test@gmail.com,+91 9999999998,Male,Indian,Single,A2323232,student_visa,test,test,test,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,direct,NULL,inprogress,NULL,2024-09-06T09:46:20.217Z,2024-09-06T09:46:20.217Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,NULL,NULL,NULL,NULL,100000,2024-08-31T18:30:00.000Z,2024-09-26T18:30:00.000Z,2024-09-26T18:30:00.000Z
04573057-8c39-4a86-a9cc-8f7cbd0d9f85,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-11T06:30:24.480Z,2024-09-11T06:30:24.480Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11T18:30:00.000Z,2024-05-09T18:30:00.000Z,2024-05-11T18:30:00.000Z
dcf16a00-402e-4c21-b6e6-5c7874d050cc,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,new,,2024-09-11T06:30:24.480Z,2024-09-11T06:30:24.480Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11T18:30:00.000Z,2024-05-09T18:30:00.000Z,2024-05-11T18:30:00.000Z
a9247921-62c1-444b-b4e6-d262bcf6803f,Rakesh Kumar ,Sharma,rakesh@gmail.com,9898989898,male,indian,single,A2323232,student_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,completed,5,2024-09-11T06:30:24.480Z,2024-09-11T06:30:24.480Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-09T18:30:00.000Z,2024-06-28T18:30:00.000Z,2024-06-12T18:30:00.000Z
5c131b9d-ef0b-4a0c-84aa-d2568a25f7ed,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,student_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-11T06:30:24.480Z,2024-09-11T06:30:24.480Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-10T18:30:00.000Z,2024-05-24T18:30:00.000Z,2024-05-24T18:30:00.000Z
85a294e8-803f-49d3-b14c-0afe998daa71,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,student_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,new,,2024-09-20T05:08:24.706Z,2024-09-20T05:08:24.706Z,d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-10T18:30:00.000Z,2024-05-24T18:30:00.000Z,2024-05-24T18:30:00.000Z
